bubbleSort mergeSort quickSort
520 19 2
529 20 1
499 18 2
517 19 2
621 18 2
627 17 2
490 19 1
582 21 2
560 17 2
499 18 2
514 19 2
547 16 1
510 17 2
871 26 3
548 18 3
815 16 2
837 27 1
528 18 2
530 18 2
514 16 1
519 20 1
540 20 2
544 18 2
518 18 2
546 20 1
557 19 2
533 18 2
552 16 2
478 18 2
526 21 2
493 19 2
522 17 2
540 20 2
496 18 2
537 19 2
868 19 3
554 18 2
567 19 1
572 18 3
687 26 2
627 24 3
893 21 3
798 23 2
746 21 2
1019 31 2
784 27 2
700 23 5
684 25 5
835 26 3
651 21 2
700 38 3
798 20 2
740 27 4
582 18 1
560 20 1
658 22 2
503 19 2
550 20 3
579 19 2
609 19 2
726 21 2
684 21 4
676 19 2
703 21 2
634 19 2
628 20 2
557 18 2
516 19 3
543 18 2
536 19 2
615 22 2
554 19 2
559 19 1
543 17 2
643 19 3
601 19 3
534 19 1
576 21 3
708 36 4
676 23 4
659 19 3
642 19 2
542 19 2
551 19 2
551 15 2
577 23 1
591 18 3
665 22 3
636 17 2
534 19 2
525 17 1
623 22 2
714 20 2
659 22 4
662 23 2
586 20 2
625 23 3
636 17 3
527 18 2
550 21 2
