bubbleSort mergeSort quickSort
520 18 2
613 17 1
486 19 1
599 18 2
555 18 1
501 20 1
485 15 2
500 16 2
630 13 5
484 15 2
493 16 1
614 15 2
646 49 4
489 17 2
475 17 2
512 16 1
802 15 1
597 16 2
497 18 2
489 17 1
519 19 2
477 18 2
491 18 2
736 14 1
586 16 2
736 18 2
502 18 2
519 19 1
526 19 2
512 18 2
504 18 1
528 17 1
619 16 2
614 21 3
512 18 2
498 19 2
618 15 1
480 19 1
616 17 0
595 16 2
476 16 2
457 14 2
726 16 2
475 16 2
597 16 1
768 16 2
502 14 2
577 14 2
463 16 2
483 14 2
608 14 2
719 14 2
585 13 3
601 15 2
594 16 1
491 14 2
475 19 1
596 15 1
468 17 1
472 15 2
779 26 4
528 20 1
923 15 2
617 16 1
594 16 1
522 20 2
610 16 2
598 14 1
595 17 2
485 16 1
621 21 3
455 17 1
482 15 1
489 22 2
502 16 1
599 15 1
584 15 1
635 25 4
895 15 2
607 18 1
543 16 2
641 17 1
607 24 1
538 16 2
617 16 2
474 17 2
469 15 2
500 18 2
592 20 2
493 15 1
601 17 1
450 15 2
662 16 1
615 17 2
722 15 1
508 24 2
552 17 1
681 32 3
473 16 2
469 15 1
