bubbleSort mergeSort quickSort
441 16 1
457 18 2
626 15 1
568 17 2
603 16 2
578 27 2
428 15 2
436 19 1
450 19 1
560 16 1
521 48 4
600 18 1
439 16 2
473 15 2
558 15 1
428 16 2
563 17 1
553 16 1
417 18 1
428 17 1
540 17 2
553 21 2
552 14 2
537 24 1
439 16 2
445 19 2
521 34 3
450 14 1
563 18 1
440 16 2
445 16 1
439 16 2
442 16 2
462 17 1
557 23 2
426 15 2
446 18 1
460 18 2
548 27 2
454 20 1
569 18 2
480 18 1
460 17 2
460 17 1
460 16 2
687 17 1
604 20 2
764 16 1
589 18 1
485 16 2
437 17 1
441 16 2
688 22 2
586 16 2
537 39 3
597 34 3
466 16 1
444 15 1
557 16 2
582 16 1
433 16 2
554 17 2
426 17 1
446 17 1
440 17 1
568 15 1
427 15 2
444 16 2
555 14 1
536 16 1
426 16 1
550 18 2
508 32 2
438 17 2
429 16 1
447 18 2
435 15 2
424 16 1
563 14 2
461 16 1
560 15 2
422 16 2
559 16 1
558 18 1
417 14 1
428 16 1
555 14 2
649 29 2
558 23 2
563 17 1
619 17 1
436 15 2
434 15 1
578 17 2
556 14 2
414 17 1
479 21 1
446 16 0
574 15 1
691 18 2
